word,slope,mean,intercept,change,approachmid,approachstd
system,0.00328730351126,-1.15640462859,-7.40228129999,0.240172804783,0.539428026191,0.505503171864
finds,0.000821804400928,-0.122303500921,-1.68373186269,0.048655087629,0.202475038025,0.20523101426
paper,0.00108416353349,-1.15758010192,-3.21749081555,0.269649281734,0.218288137153,0.179711383412
rival,0.00212274400425,-0.515739640193,-4.54895324827,0.223617508011,0.26493751858,0.236869016021
caught,0.00331785696604,-0.0495457365395,-6.35347397201,0.3252649174,0.197179421833,0.212242097867
servants,0.00707420217932,0.306318182241,-13.1346659585,0.589548784143,-0.38187609986,-0.319672232493
sitting,0.00281286630703,0.343395300343,-5.00105068301,0.147814369997,-0.394385992959,-0.435641368505
hold,0.00276459333317,-0.529481473185,-5.7822088062,0.34520441558,0.395333590486,0.418716024408
die,0.0035817244627,0.0469367363217,-6.7583397428,0.345807112858,0.284959758359,0.285419862629
forgot,0.00356089259928,-0.00982045247264,-6.7755163911,0.340900875854,0.0822463466596,0.0899140289467
neighbours,0.00263415787115,-0.0974447009426,-5.10234465612,0.339020080845,-0.00721152281143,-0.00625555943749
picture,0.00135099804781,-0.14249783148,-2.70939412232,0.156147162955,0.103113080562,0.0982234146464
lady,0.0131599713473,0.574487998978,-24.4294575608,1.20565335848,-0.876264837756,-0.686144656771
aunt,-0.000942137676906,1.34331972732,3.13338131344,-0.212565848114,-0.0304322423854,-0.0248068690806
household,0.00411457954274,0.60751147528,-7.21018965593,0.321462279794,-0.581231832876,-0.505476276538
smiled,0.00209806367584,0.279339267105,-3.70698171699,0.243721464544,-0.276664379994,-0.271235621838
belonged,0.00559314306196,-0.513736029214,-11.1407078469,0.724438529611,0.8637433415,0.786499976767
cabinet,-0.0110037120641,-1.38765047415,19.5194024477,-0.700310722138,-1.56818135892,-1.05886364326
caused,0.00404808954186,-0.643837520165,-8.33520764969,0.367332045438,0.517702733608,0.505390090235
countenance,0.000704671913372,-0.0550871912022,-1.39396382661,-0.0825170980529,0.0573327680883,0.0559493504083
meet,0.00569989821395,-0.30492910683,-11.1347357133,0.504922651689,0.727938460068,0.710966879829
was-buried,0.00613303473246,-0.104194288873,-11.7569602805,0.546304193777,0.44342132983,0.461237058658
chair,0.00108896523156,-0.00532292341848,-2.07435686338,0.0776780648976,0.209810545566,0.192750158239
was-involved,0.00394763736118,-0.658431422871,-8.15894240911,0.384425171995,0.661034011998,0.679040077013
was-named,0.00581990457171,-0.713793401859,-11.7716120881,0.616017845202,0.883500570765,0.813597705322
hated,0.00379731042511,-0.0592867649095,-7.27417657261,0.459680704832,-0.0857159583124,-0.0904387411837
retirement,-0.00262578265718,-0.948823477219,4.04016357142,-0.349854754136,-0.389164213659,-0.320544499196
was-reminded,0.000472360809836,-0.242496360974,-1.13998189966,-0.0491035785306,0.18477039817,0.15194307357
s,0.0056169013242,-0.717211942196,-11.3893244582,0.828840781583,0.672039518101,0.521709169797
bear,0.00615854253936,0.27540069502,-11.4258301298,0.611832258927,-0.424734917727,-0.443692699659
disciples,0.0046082035339,-1.72938729403,-10.4849740084,0.791810352567,0.667309502251,0.463039590782
determination,0.00448108574882,-0.452906959878,-8.96696988264,0.517427453716,0.708448307809,0.688408613491
hat,0.00684060718324,-0.978414945359,-13.9755685935,0.917805206725,1.03530591405,0.88319965682
conducted,0.00378053118043,-1.07175312573,-8.25476236854,0.540356614941,0.603616063644,0.574962684182
looking,0.00309168233825,0.086786769879,-5.7874096728,0.279938669168,-0.0654069808845,-0.0663813888521
are,0.00283311318941,0.0988147508159,-5.28410030906,0.198448405743,0.118255538352,0.127234691232
pupils,0.00699981781302,-0.355115390163,-13.6547692349,0.606433282243,0.90386464084,0.647471346102
popularity,0.00393978079095,-0.964318363867,-8.44990186668,0.486901352413,0.799452194581,0.750638577835
developed,-0.00418709300863,0.00304119815034,7.95851791454,-0.23716197421,0.439921632265,0.421996637152
was-taught,0.00324346197393,0.100468958301,-6.06210879216,0.226067420786,-0.168397628715,-0.160714326722
crossed,0.00347988303534,-0.708071279546,-7.31984904669,0.377254021459,0.514232031182,0.496399030382
concern,0.000554743352763,-0.309674310796,-1.36368668105,-0.0432968719769,0.0822252100258,0.0745613418772
capacity,0.00343610532394,-0.705783825842,-7.23438394132,0.282500521906,0.35049197116,0.341248567702
was-prevented,0.00431985771393,-0.38080076033,-8.58853041681,0.345023454306,0.586819106748,0.592377689342
