,year,count,authgender,chargender,auth_char_gender
354,1884,553,f,m,f:m
355,1884,365,m,u,m:u
356,1884,302,m,f,m:f
357,1884,265,u,u,u:u
358,1884,211,u,f,u:f
359,1884,105,f,f,f:f
360,1884,54,f,u,f:u
361,1883,3159,u,m,u:m
362,1883,2145,m,m,m:m
363,1883,512,f,m,f:m
364,1883,345,f,f,f:f
365,1883,326,u,f,u:f
366,1883,286,u,u,u:u
367,1883,280,m,u,m:u
368,1883,193,m,f,m:f
369,1883,68,f,u,f:u
370,1882,2807,m,m,m:m
371,1882,2338,u,m,u:m
372,1882,1202,f,m,f:m
373,1882,575,f,f,f:f
374,1882,323,m,u,m:u
375,1882,290,m,f,m:f
376,1882,197,u,u,u:u
377,1882,169,u,f,u:f
378,1882,139,f,u,f:u
379,1881,2668,u,m,u:m
380,1881,2357,m,m,m:m
381,1881,674,f,m,f:m
382,1881,342,m,u,m:u
383,1881,318,f,f,f:f
384,1881,264,u,u,u:u
385,1881,217,u,f,u:f
386,1881,198,m,f,m:f
387,1881,67,f,u,f:u
388,1880,3765,u,m,u:m
389,1880,2754,m,m,m:m
390,1880,704,f,m,f:m
391,1880,513,m,u,m:u
392,1880,497,u,u,u:u
393,1880,372,u,f,u:f
394,1880,282,m,f,m:f
395,1880,264,f,f,f:f
396,1880,92,f,u,f:u
397,1879,2421,u,m,u:m
398,1879,2005,m,m,m:m
399,1879,1463,f,m,f:m
400,1879,352,f,f,f:f
401,1879,226,m,u,m:u
402,1879,223,m,f,m:f
403,1879,214,u,f,u:f
404,1879,213,u,u,u:u
405,1879,177,f,u,f:u
406,1878,1943,m,m,m:m
407,1878,1868,u,m,u:m
408,1878,243,m,u,m:u
409,1878,226,u,u,u:u
410,1878,179,f,m,f:m
411,1878,142,m,f,m:f
412,1878,132,u,f,u:f
413,1878,131,f,f,f:f
414,1878,29,f,u,f:u
415,1877,2884,m,m,m:m
416,1877,1719,u,m,u:m
417,1877,1008,f,m,f:m
418,1877,634,m,u,m:u
419,1877,339,f,f,f:f
420,1877,238,m,f,m:f
